ano,mes,data,regiao,uf,municipio,populacao,chuva_mm,temperatura_media,casos_dengue,internacoes,obitos,incidencia_100k,nivel_alerta
2015,1,2015-01-01,Norte,AM,Manaus,2708209,141.6,26.6,998,43,2,36.85,Médio
2015,1,2015-01-01,Norte,PA,Belém,711775,161.5,26.4,229,12,0,32.17,Médio
2015,1,2015-01-01,Norte,PA,Santarém,2249561,128.9,26.1,776,35,2,34.5,Médio
2015,1,2015-01-01,Norte,RO,Porto Velho,2198291,180.8,28.5,915,51,3,41.62,Médio
2015,1,2015-01-01,Norte,TO,Palmas,2193271,151.1,24.7,760,37,0,34.65,Médio
2015,1,2015-01-01,Nordeste,BA,Salvador,4602686,127.5,29.7,1709,82,1,37.13,Médio
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,4454805,139.6,27.3,1599,72,8,35.89,Médio
2015,1,2015-01-01,Nordeste,PE,Recife,2349971,97.4,28.6,790,46,0,33.62,Médio
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,4965904,172.0,24.9,1781,84,4,35.86,Médio
2015,1,2015-01-01,Nordeste,CE,Fortaleza,1589861,149.9,24.0,581,35,0,36.54,Médio
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,4903120,170.6,27.5,1914,103,3,39.04,Médio
2015,1,2015-01-01,Nordeste,MA,São Luís,3776113,86.9,30.6,1282,76,3,33.95,Médio
2015,1,2015-01-01,Nordeste,PB,João Pessoa,2656765,138.5,27.0,984,40,3,37.04,Médio
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,4797827,185.5,26.5,1882,93,2,39.23,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,1223383,130.1,32.4,506,21,0,41.36,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,2056447,184.3,27.4,825,59,0,40.12,Médio
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,2135058,185.1,29.8,956,53,3,44.78,Médio
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,3776354,87.8,27.4,1120,53,1,29.66,Médio
2015,1,2015-01-01,Sudeste,SP,São Paulo,4764660,144.6,29.1,1820,86,5,38.2,Médio
2015,1,2015-01-01,Sudeste,SP,Campinas,181725,92.5,26.5,62,1,0,34.12,Médio
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,754090,126.7,27.9,245,18,0,32.49,Médio
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,1347853,119.1,25.7,462,19,0,34.28,Médio
2015,1,2015-01-01,Sudeste,RJ,Niterói,1568303,126.2,27.9,579,30,1,36.92,Médio
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,3881421,183.7,25.2,1510,74,2,38.9,Médio
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,962963,187.2,25.4,380,21,0,39.46,Médio
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,658117,101.4,28.4,227,11,0,34.49,Médio
2015,1,2015-01-01,Sudeste,MG,Uberlândia,2098822,91.0,28.1,701,36,0,33.4,Médio
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,705625,129.9,31.4,270,14,0,38.26,Médio
